example,word_position,role,word_hex_40bit,l1_counter,type,bcid,chip_id,status,hits,crc_field,event_crc_check
37,72,Header,0x3C5C0B4176,45,0,374,,,,,PASS
37,73,Trailer,0x7FFF80009F,,,,131070,0,0,0x9F,PASS
37,74,Next Header,0x3C5C0B81DC,46,0,476,,,,,PASS
38,74,Header,0x3C5C0B81DC,46,0,476,,,,,PASS
38,75,Trailer,0x7FFF8000E1,,,,131070,0,0,0xE1,PASS
38,76,Next Header,0x3C5C0BC242,47,0,578,,,,,PASS
39,76,Header,0x3C5C0BC242,47,0,578,,,,,PASS
39,77,Trailer,0x7FFF8000B7,,,,131070,0,0,0xB7,PASS
39,78,Next Header,0x3C5C0C02A8,48,0,680,,,,,PASS
40,78,Header,0x3C5C0C02A8,48,0,680,,,,,PASS
40,79,Trailer,0x7FFF80004E,,,,131070,0,0,0x4E,PASS
40,80,Next Header,0x3C5C0C430E,49,0,782,,,,,PASS
41,80,Header,0x3C5C0C430E,49,0,782,,,,,PASS
41,81,Trailer,0x7FFF80000F,,,,131070,0,0,0x0F,PASS
41,82,Next Header,0x3C5C0C8374,50,0,884,,,,,PASS
42,82,Header,0x3C5C0C8374,50,0,884,,,,,PASS
42,83,Trailer,0x7FFF800097,,,,131070,0,0,0x97,PASS
42,84,Next Header,0x3C5C0CC3DA,51,0,986,,,,,PASS
43,84,Header,0x3C5C0CC3DA,51,0,986,,,,,PASS
43,85,Trailer,0x7FFF800079,,,,131070,0,0,0x79,PASS
43,86,Next Header,0x3C5C0D0440,52,0,1088,,,,,PASS
44,86,Header,0x3C5C0D0440,52,0,1088,,,,,PASS
44,87,Trailer,0x7FFF800034,,,,131070,0,0,0x34,PASS
44,88,Next Header,0x3C5C0D44A6,53,0,1190,,,,,PASS
45,88,Header,0x3C5C0D44A6,53,0,1190,,,,,PASS
45,89,Trailer,0x7FFF800034,,,,131070,0,0,0x34,PASS
45,90,Next Header,0x3C5C0D850C,54,0,1292,,,,,PASS
46,90,Header,0x3C5C0D850C,54,0,1292,,,,,PASS
46,91,Trailer,0x7FFF80001E,,,,131070,0,0,0x1E,PASS
46,92,Next Header,0x3C5C0DC572,55,0,1394,,,,,PASS
47,92,Header,0x3C5C0DC572,55,0,1394,,,,,PASS
47,93,Trailer,0x7FFF800016,,,,131070,0,0,0x16,PASS
47,94,Next Header,0x3C5C0E05D8,56,0,1496,,,,,PASS
48,94,Header,0x3C5C0E05D8,56,0,1496,,,,,PASS
48,95,Trailer,0x7FFF80005B,,,,131070,0,0,0x5B,PASS
48,96,Next Header,0x3C5C0E463E,57,0,1598,,,,,PASS
49,96,Header,0x3C5C0E463E,57,0,1598,,,,,PASS
49,97,Trailer,0x7FFF8000A7,,,,131070,0,0,0xA7,PASS
49,98,Next Header,0x3C5C0E86A4,58,0,1700,,,,,PASS
50,98,Header,0x3C5C0E86A4,58,0,1700,,,,,PASS
50,99,Trailer,0x7FFF80009D,,,,131070,0,0,0x9D,PASS
50,100,Next Header,0x3C5C0EC70A,59,0,1802,,,,,PASS
51,100,Header,0x3C5C0EC70A,59,0,1802,,,,,PASS
51,101,Trailer,0x7FFF800027,,,,131070,0,0,0x27,PASS
51,102,Next Header,0x3C5C0F0770,60,0,1904,,,,,PASS
52,102,Header,0x3C5C0F0770,60,0,1904,,,,,PASS
52,103,Trailer,0x7FFF80004B,,,,131070,0,0,0x4B,PASS
52,104,Next Header,0x3C5C0F47D6,61,0,2006,,,,,PASS
53,104,Header,0x3C5C0F47D6,61,0,2006,,,,,PASS
53,105,Trailer,0x7FFF80005E,,,,131070,0,0,0x5E,PASS
53,106,Next Header,0x3C5C0F883C,62,0,2108,,,,,PASS
54,106,Header,0x3C5C0F883C,62,0,2108,,,,,PASS
54,107,Trailer,0x7FFF800048,,,,131070,0,0,0x48,PASS
54,108,Next Header,0x3C5C0FC8A2,63,0,2210,,,,,PASS
55,108,Header,0x3C5C0FC8A2,63,0,2210,,,,,PASS
55,109,Trailer,0x7FFF8000E2,,,,131070,0,0,0xE2,PASS
55,110,Next Header,0x3C5C100908,64,0,2312,,,,,PASS
56,110,Header,0x3C5C100908,64,0,2312,,,,,PASS
56,111,Trailer,0x7FFF8000ED,,,,131070,0,0,0xED,PASS
56,112,Next Header,0x3C5C10496E,65,0,2414,,,,,PASS
57,112,Header,0x3C5C10496E,65,0,2414,,,,,PASS
57,113,Trailer,0x7FFF8000C7,,,,131070,0,0,0xC7,PASS
57,114,Next Header,0x3C5C1089D4,66,0,2516,,,,,PASS
58,114,Header,0x3C5C1089D4,66,0,2516,,,,,PASS
58,115,Trailer,0x7FFF800060,,,,131070,0,0,0x60,PASS
58,116,Next Header,0x3C5C10CA3A,67,0,2618,,,,,PASS
59,116,Header,0x3C5C10CA3A,67,0,2618,,,,,PASS
59,117,Trailer,0x7FFF800067,,,,131070,0,0,0x67,PASS
59,118,Next Header,0x3C5C110AA0,68,0,2720,,,,,PASS
60,118,Header,0x3C5C110AA0,68,0,2720,,,,,PASS
60,119,Trailer,0x7FFF8000A9,,,,131070,0,0,0xA9,PASS
60,120,Next Header,0x3C5C114B06,69,0,2822,,,,,PASS
61,120,Header,0x3C5C114B06,69,0,2822,,,,,PASS
61,121,Trailer,0x7FFF8000E8,,,,131070,0,0,0xE8,PASS
